"","PC1","PC2","PC3"
"depth",0.618825853508432,0.0596144588753611,0.783262841785922
"distance",0.563751093701961,0.660669485096908,-0.495681889735371
"mean_prev",-0.547027666009137,0.748306052197083,0.375231641610634
