"","Df","Deviance","Resid. Df","Resid. Dev","F","Pr(>F)"
"NULL",NA,NA,189,1043.53803075138,NA,NA
"species",5,339.928237564934,184,703.609793186447,67.9856475129868,2.57779223269577e-71
"location",32,422.20265452298,152,281.407138663467,13.1938329538431,1.26638624833458e-69
