"morph","N","K","prevalence","lo","hi"
"Massive",21292,1040,0.0488446364831862,0.0460299660190027,0.051822070626282
"Encrusting",14372,290,0.0201781241302533,0.0180042622205835,0.0226084184696631
"Plating",5623,97,0.0172505779832829,0.0141621891078556,0.0209981153486625
"Branching",5829,58,0.0099502487562189,0.00770548180822245,0.0128405007402084
