"term","OR_per_SD","OR_lo","OR_hi","p"
"scale(depth)",0.29122794777527,0.173897250541914,0.46469512046679,8.80187486355771e-07
"speciesOrbicella faveolata:scale(depth)",1.42962240678625,0.711774975596066,2.82118355736447,0.305711440883982
"speciesOrbicella franksi:scale(depth)",2.09926789634833,1.26835453163248,3.62384300040327,0.00562039116027424
"speciesSiderastrea siderea:scale(depth)",1.37690865034074,0.805631157281104,2.43626869223557,0.25685425597826
"speciesStephanocoenia intercepta:scale(depth)",0.864004893218944,0.345040261471694,1.9527247405903,0.738587581575076
"speciesMontastraea cavernosa:scale(depth)",2.68469836394802,1.45190647092875,5.00547187868523,0.00167773850465298
