"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.0978886746871425,0.0148571035365353,6.58867823370977,2.72473854959535e-07
"depth",-0.00257743381939557,0.000528473967254341,-4.87712541979407,3.29535929505707e-05
"coral_abundance",-5.49994799273733e-06,1.43840958557682e-05,-0.382363135499531,0.704887534351718
