"program","year","week","site","depth","BT","weekly_mean_temp","dhw","annual_max"
"TCRMP",2008,10,"Great Pond",4,30,25.9660833333333,0,0
"TCRMP",2009,10,"Great Pond",4,30,25.8334404761905,0,0
"TCRMP",2010,10,"Great Pond",4,30,27.0779970238095,0,0
"TCRMP",2011,10,"Great Pond",4,30,25.8723244047619,0,0
"TCRMP",2012,10,"Great Pond",4,30,26.2423125,0,0
"TCRMP",2013,10,"Great Pond",4,30,26.6135327380952,0,0
"TCRMP",2014,10,"Great Pond",4,30,26.4094568452381,0,0
"TCRMP",2015,10,"Great Pond",4,30,26.4037410714286,0,0
"TCRMP",2017,10,"Great Pond",4,30,26.4021830357143,0,0
"TCRMP",2018,10,"Great Pond",4,30,26.3653110119048,0,0
"TCRMP",2008,11,"Great Pond",4,30,26.1385029761905,0,0
"TCRMP",2009,11,"Great Pond",4,30,25.130380952381,0,0
"TCRMP",2010,11,"Great Pond",4,30,28.2589761904762,0,0
"TCRMP",2011,11,"Great Pond",4,30,25.7643601190476,0,0
"TCRMP",2012,11,"Great Pond",4,30,26.3813005952381,0,0
"TCRMP",2013,11,"Great Pond",4,30,26.2354464285714,0,0
"TCRMP",2014,11,"Great Pond",4,30,26.7765535714286,0,0
"TCRMP",2015,11,"Great Pond",4,30,26.4166726190476,0,0
"TCRMP",2017,11,"Great Pond",4,30,26.7127633928571,0,0
"TCRMP",2018,11,"Great Pond",4,30,26.639,0,0
"TCRMP",2008,12,"Great Pond",4,30,26.0326101190476,0,0
"TCRMP",2009,12,"Great Pond",4,30,25.4610267857143,0,0
"TCRMP",2010,12,"Great Pond",4,30,28.0751994047619,0,0
"TCRMP",2011,12,"Great Pond",4,30,25.9631755952381,0,0
"TCRMP",2012,12,"Great Pond",4,30,26.4290044642857,0,0
"TCRMP",2013,12,"Great Pond",4,30,26.6202544642857,0,0
"TCRMP",2014,12,"Great Pond",4,30,26.7881979166667,0,0
"TCRMP",2015,12,"Great Pond",4,30,26.7797217261905,0,0
"TCRMP",2017,12,"Great Pond",4,30,27.0692514880952,0,0
"TCRMP",2018,12,"Great Pond",4,30,27.0058601190476,0,0
"TCRMP",2008,13,"Great Pond",4,30,25.992125,0,0
"TCRMP",2009,13,"Great Pond",4,30,25.624568452381,0,0
"TCRMP",2010,13,"Great Pond",4,30,28.0093303571429,0,0
"TCRMP",2011,13,"Great Pond",4,30,26.6212916666667,0,0
"TCRMP",2012,13,"Great Pond",4,30,26.9264776785714,0,0
"TCRMP",2013,13,"Great Pond",4,30,27.1181488095238,0,0
"TCRMP",2014,13,"Great Pond",4,30,27.1802440476191,0,0
"TCRMP",2015,13,"Great Pond",4,30,27.0512663690476,0,0
"TCRMP",2017,13,"Great Pond",4,30,27.2462410714286,0,0
"TCRMP",2018,13,"Great Pond",4,30,26.8592455357143,0,0
"TCRMP",2008,14,"Great Pond",4,30,25.8548005952381,0,0
"TCRMP",2009,14,"Great Pond",4,30,26.0897619047619,0,0
"TCRMP",2010,14,"Great Pond",4,30,27.4717678571429,0,0
"TCRMP",2011,14,"Great Pond",4,30,26.7434375,0,0
"TCRMP",2012,14,"Great Pond",4,30,27.3761071428571,0,0
"TCRMP",2013,14,"Great Pond",4,30,26.9506860119048,0,0
"TCRMP",2014,14,"Great Pond",4,30,27.1690997023809,0,0
"TCRMP",2015,14,"Great Pond",4,30,26.7545104166667,0,0
"TCRMP",2017,14,"Great Pond",4,30,27.5096443452381,0,0
"TCRMP",2018,14,"Great Pond",4,30,27.1535342261905,0,0
"TCRMP",2008,15,"Great Pond",4,30,25.9799583333333,0,0
"TCRMP",2009,15,"Great Pond",4,30,26.7758452380952,0,0
"TCRMP",2010,15,"Great Pond",4,30,27.5669017857143,0,0
"TCRMP",2011,15,"Great Pond",4,30,27.0125,0,0
"TCRMP",2012,15,"Great Pond",4,30,27.6121741071428,0,0
"TCRMP",2013,15,"Great Pond",4,30,27.1177202380953,0,0
"TCRMP",2014,15,"Great Pond",4,30,26.9527142857143,0,0
"TCRMP",2015,15,"Great Pond",4,30,27.0037797619048,0,0
"TCRMP",2017,15,"Great Pond",4,30,28.0311086309524,0,0
"TCRMP",2018,15,"Great Pond",4,30,27.0597157738095,0,0
"TCRMP",2008,16,"Great Pond",4,30,26.3435625,0,0
"TCRMP",2009,16,"Great Pond",4,30,26.8980773809524,0,0
"TCRMP",2010,16,"Great Pond",4,30,28.4671785714286,0,0
"TCRMP",2011,16,"Great Pond",4,30,27.3936488095238,0,0
"TCRMP",2012,16,"Great Pond",4,30,26.8445669642857,0,0
"TCRMP",2013,16,"Great Pond",4,30,26.9539196428571,0,0
"TCRMP",2014,16,"Great Pond",4,30,27.06078125,0,0
"TCRMP",2015,16,"Great Pond",4,30,27.1417261904762,0,0
"TCRMP",2017,16,"Great Pond",4,30,27.3422247023809,0,0
"TCRMP",2018,16,"Great Pond",4,30,27.2093883928571,0,0
"TCRMP",2008,17,"Great Pond",4,30,26.7090595238095,0,0
"TCRMP",2009,17,"Great Pond",4,30,27.1677529761905,0,0
"TCRMP",2010,17,"Great Pond",4,30,28.9969464285714,0,0
"TCRMP",2011,17,"Great Pond",4,30,27.3937678571429,0,0
"TCRMP",2012,17,"Great Pond",4,30,27.9095639880952,0,0
"TCRMP",2013,17,"Great Pond",4,30,27.0480967261905,0,0
"TCRMP",2014,17,"Great Pond",4,30,27.1796622023809,0,0
"TCRMP",2015,17,"Great Pond",4,30,27.6742529761905,0,0
"TCRMP",2017,17,"Great Pond",4,30,27.3422589285714,0,0
"TCRMP",2018,17,"Great Pond",4,30,27.3682366071429,0,0
"TCRMP",2008,18,"Great Pond",4,30,26.7061934523809,0,0
"TCRMP",2009,18,"Great Pond",4,30,26.9662261904762,0,0
"TCRMP",2010,18,"Great Pond",4,30,28.8675982142857,0,0
"TCRMP",2011,18,"Great Pond",4,30,27.340375,0,0
"TCRMP",2012,18,"Great Pond",4,30,27.4701309523809,0,0
"TCRMP",2013,18,"Great Pond",4,30,27.5409806547619,0,0
"TCRMP",2014,18,"Great Pond",4,30,27.9583794642857,0,0
"TCRMP",2015,18,"Great Pond",4,30,28.1852336309524,0,0
"TCRMP",2017,18,"Great Pond",4,30,27.4636994047619,0,0
"TCRMP",2018,18,"Great Pond",4,30,27.4069464285714,0,0
"TCRMP",2008,19,"Great Pond",4,30,27.0601279761905,0,0
"TCRMP",2009,19,"Great Pond",4,30,27.0296636904762,0,0
"TCRMP",2010,19,"Great Pond",4,30,28.7666964285714,0,0
"TCRMP",2011,19,"Great Pond",4,30,27.9009196428571,0,0
"TCRMP",2012,19,"Great Pond",4,30,27.9920833333333,0,0
"TCRMP",2013,19,"Great Pond",4,30,28.3136964285714,0,0
"TCRMP",2014,19,"Great Pond",4,30,27.8996919642857,0,0
"TCRMP",2015,19,"Great Pond",4,30,27.8308318452381,0,0
"TCRMP",2017,19,"Great Pond",4,30,27.9237306547619,0,0
"TCRMP",2018,19,"Great Pond",4,30,27.2643824404762,0,0
"TCRMP",2008,20,"Great Pond",4,30,27.5387232142857,0,0
"TCRMP",2009,20,"Great Pond",4,30,27.1179196428571,0,0
"TCRMP",2010,20,"Great Pond",4,30,28.8923541666667,0,0
"TCRMP",2011,20,"Great Pond",4,30,27.6181398809524,0,0
"TCRMP",2012,20,"Great Pond",4,30,27.8343392857143,0,0
"TCRMP",2013,20,"Great Pond",4,30,28.2092619047619,0,0
"TCRMP",2014,20,"Great Pond",4,30,27.4950758928571,0,0
"TCRMP",2015,20,"Great Pond",4,30,27.7175238095238,0,0
"TCRMP",2017,20,"Great Pond",4,30,28.3215119047619,0,0
"TCRMP",2018,20,"Great Pond",4,30,27.2925282738095,0,0
"TCRMP",2008,21,"Great Pond",4,30,27.8870625,0,0
"TCRMP",2009,21,"Great Pond",4,30,27.6601964285714,0,0
"TCRMP",2010,21,"Great Pond",4,30,29.2682946428571,0,0
"TCRMP",2011,21,"Great Pond",4,30,28.4712142857143,0,0
"TCRMP",2012,21,"Great Pond",4,30,28.0137068452381,0,0
"TCRMP",2013,21,"Great Pond",4,30,27.6823511904762,0,0
"TCRMP",2014,21,"Great Pond",4,30,27.6818065476191,0,0
"TCRMP",2015,21,"Great Pond",4,30,28.3424732142857,0,0
"TCRMP",2017,21,"Great Pond",4,30,28.5995074404762,0,0
"TCRMP",2018,21,"Great Pond",4,30,27.4663764880952,0,0
