Cliona,n,mean_depth_m,sd_depth_m,living_n,dead_n
delitrix,122,11.942622950819674,7.35667367828186,84,38
caribbaea,39,15.282051282051281,8.252427770211874,6,33
tenuis,8,10,3.070597894314954,1,7
varians,5,17.8,9.284395510748128,2,3
