depth_bin,colonies,clionaid_positive,prevalence,ci_low,ci_high,share_colonies,share_positive,prevalence_label,n_label
<=12 m,9926,802,0.08079790449325006,0.07559740593864697,0.08632274812307233,0.4852603275482767,0.7932739861523245,8.08%,"N = 9,926
K = 802"
13-20 m,5316,131,0.024642588412340106,0.020805683465578127,0.029166004765827553,0.25988755805426544,0.12957467853610286,2.46%,"N = 5,316
K = 131"
>20 m,5213,78,0.014962593516209476,0.012006067180213997,0.01863344143479909,0.2548521143974578,0.0771513353115727,1.50%,"N = 5,213
K = 78"
